,Xiaomi,Asus,Mac OS X,Huawei,Windows 10 S,ARM_GPU,Samsung_CPU,Fujitsu,Lenovo,Samsung,Google,Android,Toshiba,HP,Microsoft,Dell,Chuwi,LG,Inches,Vero,2 in 1 Convertible,Apple,Mediacom,macOS,Netbook,Chrome OS,Storage,Windows 10,Windows 7,Linux,No OS,MSI,AMD_CPU,Intel_CPU,Intel_GPU,AMD_GPU,Acer,Weight,Razer,Workstation,Ultrabook,Nvidia_GPU,Gaming,CpuFreq,Notebook,ScreenHeight,ScreenWidth,Ram,Price
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,1,0,1,0,0,128.0,0,0,0,0,0,0,1,1,0,0,1.37,0,0,1,0,0,2.3,0,1600,2560,8,71378.6832
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,1,0,1,0,0,128.0,0,0,0,0,0,0,1,1,0,0,1.34,0,0,1,0,0,1.8,0,900,1440,8,47895.5232
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,0,0,0,1,0,0,1,1,0,0,1.86,0,0,0,0,0,2.5,1,1080,1920,8,30636.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,1,0,1,0,0,512.0,0,0,0,0,0,0,1,0,1,0,1.83,0,0,1,0,0,2.7,0,1800,2880,16,135195.33599999998
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,1,0,1,0,0,256.0,0,0,0,0,0,0,1,1,0,0,1.37,0,0,1,0,0,3.1,0,1600,2560,8,96095.808
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,500.0,1,0,0,0,0,1,0,0,1,1,2.1,0,0,0,0,0,3.0,1,768,1366,4,21312.0
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,1,0,0,0,0,256.0,0,0,0,0,0,0,1,1,0,0,2.04,0,0,1,0,0,2.2,0,1800,2880,16,114017.6016
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,1,0,1,0,0,256.0,0,0,0,0,0,0,1,1,0,0,1.34,0,0,1,0,0,1.8,0,900,1440,8,61735.536
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,512.0,1,0,0,0,0,0,1,0,0,0,1.3,0,0,1,1,0,1.8,0,1080,1920,16,79653.59999999999
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,1,1.6,0,0,1,0,0,1.6,0,1080,1920,8,41025.6
